"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2022","53.70","53.00","53.70","52.80","631.19K","0.94%"
"12/14/2022","53.20","52.80","53.40","52.60","161.31K","1.72%"
"12/13/2022","52.30","52.70","53.30","52.30","389.29K","-0.76%"
"12/12/2022","52.70","52.60","53.20","51.50","428.91K","0.19%"
"12/11/2022","52.60","52.50","52.90","52.50","77.52K","-0.38%"
"12/08/2022","52.80","52.20","52.90","52.00","375.79K","1.34%"
"12/07/2022","52.10","52.40","53.70","52.10","266.71K","-0.95%"
"12/06/2022","52.60","52.50","52.60","52.00","176.88K","0.57%"
"12/05/2022","52.30","53.10","53.80","52.30","496.09K","-2.43%"
"12/04/2022","53.60","54.00","54.00","53.40","155.13K","0.37%"
"12/01/2022","53.40","53.90","53.90","53.00","230.85K","0.38%"
"11/30/2022","53.20","52.20","53.20","52.10","672.09K","1.92%"
"11/29/2022","52.20","53.60","53.80","51.90","360.30K","-2.79%"
"11/28/2022","53.70","53.70","53.70","52.20","311.94K","-0.19%"
"11/27/2022","53.80","54.60","55.00","53.80","157.35K","-3.58%"
"11/24/2022","55.80","55.80","55.80","53.80","203.44K","0.00%"
"11/22/2022","55.80","54.30","55.80","54.00","139.23K","1.82%"
"11/21/2022","54.80","56.10","56.10","53.70","256.49K","-2.32%"
"11/20/2022","56.10","57.00","57.00","56.00","155.96K","-1.06%"
"11/17/2022","56.70","56.60","56.70","56.10","206.93K","0.35%"
"11/16/2022","56.50","56.00","56.50","56.00","261.67K","-0.18%"
"11/15/2022","56.60","57.30","57.30","56.00","252.65K","-0.70%"
"11/14/2022","57.00","56.50","57.70","56.50","288.26K","0.35%"
"11/13/2022","56.80","56.40","57.00","56.40","153.40K","-0.35%"
"11/10/2022","57.00","56.80","57.00","55.40","178.59K","0.00%"
"11/09/2022","57.00","57.10","57.10","56.30","159.62K","-0.35%"
"11/08/2022","57.20","56.90","57.20","56.60","249.50K","0.53%"
"11/07/2022","56.90","55.80","56.90","55.30","361.20K","1.79%"
"11/06/2022","55.90","56.40","56.40","55.60","114.66K","0.90%"
"11/03/2022","55.40","56.40","56.40","55.00","256.17K","-1.77%"
"11/02/2022","56.40","56.00","56.40","55.50","246.11K","0.89%"
"11/01/2022","55.90","56.00","56.20","55.50","165.39K","-0.71%"
"10/31/2022","56.30","55.80","56.30","55.30","262.90K","0.54%"
"10/30/2022","56.00","54.30","56.00","54.10","172.46K","2.75%"
"10/27/2022","54.50","55.90","56.20","54.50","300.04K","-2.68%"
"10/26/2022","56.00","55.40","56.00","54.50","259.52K","0.18%"
"10/25/2022","55.90","57.00","57.70","55.00","577.23K","-2.44%"
"10/24/2022","57.30","56.00","57.40","55.50","529.61K","2.32%"
"10/23/2022","56.00","56.10","56.70","55.60","234.07K","-0.18%"
"10/20/2022","56.10","57.70","58.00","55.40","844.15K","-3.11%"
"10/19/2022","57.90","57.10","58.00","56.80","667.69K","1.05%"
"10/18/2022","57.30","56.30","57.30","56.30","1.38M","1.96%"
"10/17/2022","56.20","55.70","56.50","55.60","505.38K","1.44%"
"10/16/2022","55.40","55.00","56.00","54.50","307.63K","1.28%"
