"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2022","73.40","73.90","74.70","72.90","6.54M","-1.21%"
"12/14/2022","74.30","76.00","77.30","73.40","5.13M","-0.93%"
"12/13/2022","75.00","73.00","75.50","72.50","5.19M","4.02%"
"12/12/2022","72.10","74.30","74.30","71.80","5.34M","-2.96%"
"12/11/2022","74.30","75.40","76.20","74.00","3.80M","-0.93%"
"12/08/2022","75.00","74.30","76.30","73.80","6.67M","1.35%"
"12/07/2022","74.00","77.80","78.10","74.00","4.90M","-4.88%"
"12/06/2022","77.80","77.00","77.80","75.30","9.36M","1.04%"
"12/05/2022","77.00","80.10","80.10","77.00","4.53M","-3.75%"
"12/04/2022","80.00","80.00","80.40","79.90","2.16M","-0.12%"
"12/01/2022","80.10","80.50","80.90","79.90","6.69M","-0.50%"
"11/30/2022","80.50","80.50","80.50","79.40","11.17M","0.25%"
"11/29/2022","80.30","81.40","82.10","80.30","4.03M","-1.83%"
"11/28/2022","81.80","80.50","82.20","79.50","4.61M","0.00%"
"11/27/2022","81.80","82.80","82.80","80.80","2.51M","-1.21%"
"11/24/2022","82.80","82.70","82.80","81.50","4.14M","-0.12%"
"11/22/2022","82.90","83.20","83.40","82.00","3.56M","-0.36%"
"11/21/2022","83.20","83.50","83.60","82.80","3.35M","-0.36%"
"11/20/2022","83.50","83.70","84.20","83.30","2.22M","-1.18%"
"11/17/2022","84.50","84.60","84.80","84.00","4.75M","-0.12%"
"11/16/2022","84.60","84.00","84.70","83.70","4.17M","0.24%"
"11/15/2022","84.40","84.40","84.40","83.60","4.34M","0.48%"
"11/14/2022","84.00","84.00","84.10","82.70","4.09M","0.00%"
"11/13/2022","84.00","84.60","84.90","83.70","4.45M","-0.12%"
"11/10/2022","84.10","85.00","85.00","83.70","5.36M","-1.41%"
"11/09/2022","85.30","85.40","85.70","84.70","4.06M","-0.12%"
"11/08/2022","85.40","85.60","85.80","84.50","5.44M","-0.12%"
"11/07/2022","85.50","84.70","85.50","84.40","3.88M","0.94%"
"11/06/2022","84.70","85.00","86.20","84.70","6.26M","0.47%"
"11/03/2022","84.30","85.00","85.40","84.00","5.67M","-1.63%"
"11/02/2022","85.70","84.80","85.70","84.00","5.67M","0.82%"
"11/01/2022","85.00","85.40","85.40","84.50","3.87M","-0.23%"
"10/31/2022","85.20","86.00","86.30","84.30","6.86M","-0.81%"
"10/30/2022","85.90","87.00","87.50","85.90","3.08M","-1.26%"
"10/27/2022","87.00","86.60","87.90","86.50","7.25M","0.58%"
"10/26/2022","86.50","88.10","88.30","86.10","4.48M","-1.70%"
"10/25/2022","88.00","88.10","88.20","87.50","5.42M","-0.11%"
